ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
2275,2067.0,128.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
1828,1330.0,100.0,360.0,0.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3667,1459.0,144.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
4166,7210.0,184.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
3748,1668.0,110.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False
3600,0.0,80.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
1800,1213.0,47.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
2400,0.0,75.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3941,2336.0,134.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
4695,0.0,96.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True
3410,0.0,88.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
5649,0.0,44.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
5821,0.0,144.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
2645,3440.0,120.0,360.0,0.0,N,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True
4000,2275.0,144.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
1928,1644.0,100.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False
3086,0.0,120.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
4230,0.0,112.0,360.0,1.0,N,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
4616,0.0,134.0,360.0,1.0,N,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
11500,0.0,286.0,360.0,0.0,N,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
2708,1167.0,97.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
2132,1591.0,96.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
3366,2200.0,135.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
8080,2250.0,180.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
3357,2859.0,144.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True
2500,3796.0,120.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3029,0.0,99.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True
2609,3449.0,165.0,180.0,0.0,N,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False
4945,0.0,128.0,360.0,0.0,N,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
4166,0.0,116.0,360.0,0.0,N,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
5726,4595.0,258.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
3200,2254.0,126.0,180.0,0.0,N,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True
10750,0.0,312.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
7100,0.0,125.0,60.0,1.0,Y,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True
4300,0.0,136.0,360.0,0.0,N,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
3208,3066.0,172.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
1875,1875.0,97.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False
3500,0.0,81.0,300.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
4755,0.0,95.0,360.0,0.0,N,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
5266,1774.0,187.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False
3750,0.0,113.0,480.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
3750,4750.0,176.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
1000,3022.0,110.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
3167,4000.0,180.0,300.0,0.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
3333,2166.0,130.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False
3846,0.0,111.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
2395,0.0,128.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False
1378,1881.0,167.0,360.0,1.0,N,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
6000,2250.0,265.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
3988,0.0,50.0,240.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
2366,2531.0,136.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
3333,2000.0,99.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
2500,2118.0,104.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
8566,0.0,210.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
5695,4167.0,175.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
2958,2900.0,131.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
6250,5654.0,188.0,180.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
3273,1820.0,81.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True
4133,0.0,122.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
3620,0.0,25.0,120.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False
6782,0.0,128.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
2484,2302.0,137.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
1977,997.0,50.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
4188,0.0,115.0,180.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
1759,3541.0,131.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
4288,3263.0,133.0,180.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True
4843,3806.0,151.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
13650,0.0,128.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
4652,3583.0,128.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
3816,754.0,160.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3052,1030.0,100.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
11417,1126.0,225.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
7333,0.0,120.0,360.0,1.0,N,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False
3800,3600.0,216.0,360.0,0.0,N,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
2071,754.0,94.0,480.0,1.0,Y,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
5316,0.0,136.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
2929,2333.0,139.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
3572,4114.0,152.0,360.0,0.0,N,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False
7451,0.0,128.0,360.0,1.0,Y,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False
5050,0.0,118.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
14583,0.0,185.0,180.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
3167,2283.0,154.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
2214,1398.0,85.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
5568,2142.0,175.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
10408,0.0,259.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
5667,2667.0,180.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
4166,0.0,44.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
2137,8980.0,137.0,360.0,0.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
2957,0.0,81.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
4300,2014.0,194.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False
3692,0.0,93.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
23803,0.0,370.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False
3865,1640.0,128.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
10513,3850.0,160.0,180.0,0.0,N,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
6080,2569.0,182.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
20166,0.0,650.0,480.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
2014,1929.0,74.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
2718,0.0,70.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
3459,0.0,25.0,120.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False
4895,0.0,102.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
4000,7750.0,290.0,360.0,1.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
4583,0.0,84.0,360.0,1.0,N,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False
3316,3500.0,88.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True
14999,0.0,242.0,360.0,0.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
4200,1430.0,129.0,360.0,1.0,N,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False
5042,2083.0,185.0,360.0,1.0,N,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False
5417,0.0,168.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
6950,0.0,175.0,180.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False
2698,2034.0,122.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
11757,0.0,187.0,180.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
2330,4486.0,100.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
14866,0.0,70.0,360.0,1.0,Y,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1538,1425.0,30.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
10000,1666.0,225.0,360.0,1.0,N,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
4860,830.0,125.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
6277,0.0,118.0,360.0,0.0,N,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
2577,3750.0,152.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False
9166,0.0,244.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
2281,0.0,113.0,360.0,1.0,N,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False
3254,0.0,50.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
39999,0.0,600.0,180.0,0.0,Y,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
6000,0.0,160.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
9538,0.0,187.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
2980,2083.0,120.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
4583,5625.0,255.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
1863,1041.0,98.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
7933,0.0,275.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3089,1280.0,121.0,360.0,0.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
4167,1447.0,158.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False
9323,0.0,75.0,180.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3707,3166.0,182.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
4583,0.0,112.0,360.0,1.0,N,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False
2439,3333.0,129.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
2237,0.0,63.0,480.0,0.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
8000,0.0,200.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
1820,1769.0,95.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False
51763,0.0,700.0,300.0,1.0,Y,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True
3522,0.0,81.0,180.0,1.0,N,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False
5708,5625.0,187.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
4344,736.0,87.0,360.0,1.0,N,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False
3497,1964.0,116.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
2045,1619.0,101.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False
5516,11300.0,495.0,360.0,0.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
3750,0.0,116.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
2333,1451.0,102.0,480.0,0.0,N,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True
6400,7250.0,180.0,360.0,0.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
1916,5063.0,67.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
4600,0.0,73.0,180.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
33846,0.0,260.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
3625,0.0,108.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
39147,4750.0,120.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False
2178,0.0,66.0,300.0,0.0,N,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False
2383,2138.0,58.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
674,5296.0,168.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False
9328,0.0,188.0,180.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
4885,0.0,48.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False
12000,0.0,164.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
6033,0.0,160.0,360.0,1.0,N,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True
3858,0.0,76.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
4191,0.0,120.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
3125,2583.0,170.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
8333,3750.0,187.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
1907,2365.0,120.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True
3416,2816.0,113.0,360.0,1.0,Y,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False
11000,0.0,83.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
2600,2500.0,90.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False
4923,0.0,166.0,360.0,0.0,Y,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False
3992,0.0,128.0,180.0,1.0,N,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True
3500,1083.0,135.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
3917,0.0,124.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
4408,0.0,120.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False
3244,0.0,80.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
3975,2531.0,55.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False
2479,0.0,59.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
3418,0.0,127.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
10000,0.0,214.0,360.0,1.0,N,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
3430,1250.0,128.0,360.0,0.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
7787,0.0,240.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
5703,0.0,130.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
3173,3021.0,137.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3850,983.0,100.0,360.0,1.0,Y,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
150,1800.0,135.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
3727,1775.0,131.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
5000,0.0,72.0,360.0,0.0,N,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
4283,2383.0,127.0,360.0,1.0,Y,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2221,0.0,60.0,360.0,0.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
4009,1717.0,116.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
2971,2791.0,144.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False
7578,1010.0,175.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
6250,0.0,128.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
3250,0.0,170.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
4735,0.0,138.0,360.0,1.0,N,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True
6250,1695.0,210.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
4758,0.0,158.0,480.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
6400,0.0,200.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False
2491,2054.0,104.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
3716,0.0,42.0,180.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
3189,2598.0,120.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False
8333,0.0,280.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
3155,1779.0,140.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
5500,1260.0,170.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
5746,0.0,255.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
3463,0.0,122.0,360.0,1.0,Y,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True
3812,0.0,112.0,360.0,1.0,Y,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False
3315,0.0,96.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
5819,5000.0,120.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False
2510,1983.0,140.0,180.0,1.0,N,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
2965,5701.0,155.0,60.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
6250,1300.0,108.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False
3406,4417.0,123.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
6050,4333.0,120.0,180.0,1.0,N,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
9703,0.0,112.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
6608,0.0,137.0,180.0,1.0,Y,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
2882,1843.0,123.0,480.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
1809,1868.0,90.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
1668,3890.0,201.0,360.0,0.0,N,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
3427,0.0,138.0,360.0,1.0,N,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2583,2167.0,104.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False
2661,7101.0,279.0,180.0,1.0,Y,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False
16250,0.0,192.0,360.0,0.0,N,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
3083,0.0,255.0,360.0,1.0,Y,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False
6045,0.0,115.0,360.0,0.0,N,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False
5250,0.0,94.0,360.0,1.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True
14683,2100.0,304.0,360.0,1.0,N,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
4931,0.0,128.0,360.0,1.0,N,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
6083,4250.0,330.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
